Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,sentiment_score,sentiment_label
0,,4.0,issues.,2014-07-23,138,0,0,0,0,0.0,0.0,0.0,neg
1,0mie,5.0,"purchased device, worked advertised. never much phone memory, since download lot stuff brainer me.",2013-10-25,409,0,0,0,0,0.0,0.0,0.0,neg
2,1K3,4.0,work expected. higher capacity. think made bit earlier paint look clean,2012-12-23,715,0,0,0,0,0.0,0.0,0.4019,pos
3,1m2,5.0,"think worked 64gb card went south 3 one held pretty well since s3, update month zero since transferred s3 note2. card reliable",2013-11-21,382,0,0,0,0,0.0,0.0,0.6486,pos
4,2&amp;1/2Men,5.0,"bought retail packaging, arrived legit, version asian like picture shows. arrived quickly, bought 32 16 retail packaging htc one lg card working probably best price get nice sd card",2013-07-13,513,0,0,0,0,0.0,0.0,0.8591,pos
5,2Cents!,5.0,mini storage. anything else supposed to. purchased add additional storage microsoft surface pro tablet come 64 128 gb. supposed sandisk long standing reputation speaks itself.,2013-04-29,588,0,0,0,0,0.0,0.0,0.0,neg
6,2K1Toaster,5.0,phone never skip beat. file transfer speedy corruption issue memory issue would expect sandisk brand. great card own. precious file slightly cheaper piece lose everything spending extra couple buck trusted product go good,2013-10-19,415,0,0,0,0,0.0,0.0,0.9074,pos
7,"35-year Technology Consumer ""8-tracks to 802.11""",5.0,hard believe affordable digital 32 gb device one quarter postage would le generation picked portable music want (or phone ipod. work great sd card confidence.,2014-10-07,62,0,0,0,0,0.0,0.0,0.8074,pos
8,4evryoung,5.0,"work htc running short space 64gb sandisk ordered came out, fast issues.",2014-03-24,259,1,0,1,1,1.0,0.2065493143772374,0.0,neg
9,53rdcard,5.0,"galaxy s4, super fast card, totally happy, happy still type fill required word though",2013-11-10,393,0,0,0,0,0.0,0.0,0.9167,pos
10,808TREX50,5.0,"like sd card take music video downloads, personal videos, multimedia image fast transfer rate class 10 speed. take game large file easily still enough space apps. great video camera camcorder supplied adapter. fit easily smartphones tablet sd card slots. recommend 32gb sd card everyone.",2013-11-05,398,0,0,0,0,0.0,0.0,0.9371,pos
11,98020,3.0,"works, file writes bit slower expected usb3 read writes faster card inside sd adapter mb/s v 10 45 mb/s v 22 mb/s read) card reader. can't figure",2013-11-20,383,0,0,0,0,0.0,0.0,0.0,neg
12,9z4cda,5.0,name speaks out. go sandisk go!,2014-04-07,245,0,0,0,0,0.0,0.0,0.0,neg
13,"A4Q96 ""Gadget Lover""",5.0,"solid sdhc card fast (at reading fast (for recording video great capacity, reasonably priced. issue highly recommend.",2013-11-21,382,0,0,0,0,0.0,0.0,0.8173,pos
14,"Aaron ""Aaron""",5.0,heard card's write speed however used extensively single problem it!!,2014-02-17,294,0,0,0,0,0.0,0.0,-0.508,neg
15,"Aaron ""Aaron""",5.0,"bought use go pro hero 3 black edition. requires class 10 microsdxc card. far i've issue it. fast read/write, came adapter, small packaging, that's needed! come nice hard plastic case keep dry together needed.",2013-04-01,616,0,0,0,0,0.0,0.0,0.7424,pos
16,Aaron Alvarez,5.0,got 2 gb one filled up. kept getting insufficient disk space phone. kid take phone selfies. mostly daughter. get bigger card. 2gb one carry old say sweet. plenty space. dont delete picture anymore. well daughter love selfies.,2014-02-03,308,0,0,0,0,0.0,0.0,0.8519,pos
