Year,Month,Day,Category,Product,Sales,IsFestival,IsWeekend,Season
2018,january,monday,electronics,mobile,33,True,False,winter
2018,january,monday,electronics,laptop,27,True,True,winter
2018,january,monday,electronics,headphones,35,False,True,winter
2018,january,monday,electronics,camera,12,True,False,winter
2018,january,monday,electronics,television,17,True,False,winter
2018,january,monday,electronics,printer,6,False,False,winter
2018,january,monday,electronics,speaker,6,True,False,winter
2018,january,monday,electronics,smartwatch,10,False,True,winter
2018,january,monday,electronics,tablet,13,True,False,winter
2018,january,monday,electronics,heater,6,True,False,winter
2018,january,monday,beverages,coffee power,24,True,False,winter
2018,january,monday,beverages,softdrink,32,False,False,winter
2018,january,monday,beverages,juice,20,False,False,winter
2018,january,monday,beverages,energydrink,20,True,False,winter
2018,january,monday,beverages,milk,20,True,True,winter
2018,january,monday,clothing,saree,10,False,False,winter
2018,january,monday,clothing,kurta,33,True,True,winter
2018,january,monday,clothing,lehenga,13,True,False,winter
2018,january,monday,clothing,jeans,20,False,False,winter
2018,january,monday,clothing,shirt,28,False,True,winter
2018,january,monday,clothing,tshirt,67,True,True,winter
2018,january,monday,clothing,trouser,33,True,True,winter
2018,january,monday,clothing,jacket,12,False,True,winter
2018,january,monday,clothing,blazer,5,False,False,winter
2018,january,monday,clothing,suit,6,False,True,winter
2018,january,monday,travel,powerbank,30,False,False,winter
2018,january,monday,travel,backpack,29,True,False,winter
2018,january,monday,travel,luggage,23,True,False,winter
2018,january,monday,travel,trolley,21,False,True,winter
2018,january,monday,travel,bag,12,True,False,winter
2018,january,monday,travel,wallet,20,False,False,winter
2018,january,monday,travel,sunglasses,18,True,True,winter
2018,january,monday,travel,watch,15,False,False,winter
2018,january,monday,travel,shoes,43,True,True,winter
2018,january,monday,travel,umbrella,26,False,True,winter
2018,january,monday,beauty,lipstick,25,True,False,winter
2018,january,monday,beauty,eyeliner,25,False,False,winter
2018,january,monday,beauty,mascara,17,False,True,winter
2018,january,monday,beauty,foundation,13,True,False,winter
2018,january,monday,beauty,compact,15,True,True,winter
2018,january,monday,beauty,kajal,20,False,False,winter
2018,january,monday,beauty,nailpolish,20,False,False,winter
2018,january,monday,beauty,perfume,13,True,False,winter
2018,january,monday,beauty,shampoo,34,False,True,winter
2018,january,monday,beauty,conditioner,38,True,True,winter
2018,january,tuesday,electronics,mobile,51,True,True,winter
2018,january,tuesday,electronics,laptop,17,False,True,winter
2018,january,tuesday,electronics,headphones,38,True,False,winter
2018,january,tuesday,electronics,camera,11,False,True,winter
2018,january,tuesday,electronics,television,23,True,True,winter
2018,january,tuesday,electronics,printer,8,True,False,winter
2018,january,tuesday,electronics,speaker,5,False,True,winter
2018,january,tuesday,electronics,smartwatch,16,True,True,winter
2018,january,tuesday,electronics,tablet,14,True,False,winter
2018,january,tuesday,electronics,heater,6,True,False,winter
2018,january,tuesday,beverages,coffee power,40,True,True,winter
2018,january,tuesday,beverages,softdrink,37,True,False,winter
2018,january,tuesday,beverages,juice,23,True,False,winter
2018,january,tuesday,beverages,energydrink,17,False,False,winter
2018,january,tuesday,beverages,milk,14,False,True,winter
2018,january,tuesday,clothing,saree,16,True,False,winter
2018,january,tuesday,clothing,kurta,24,True,False,winter
